OBJECTID,occurrenceID,type,language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,basisOfRecord,"recordedBy""",Waterbody,habitat,managementAction,kingdom,scientificName,scientificNameAuthorship,taxonRank,verbatimLongitude,verbatimLatitude,verbatimCoordinateSystem,verbatimSRS,ownerInstitutionCode,EventDate,continent,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateuncertaintyInMeters,nomenclaturalCode
129,INBO:IAS:FAL:D:129,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147528.05012,208352.0064,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3334083,51.1851562,WGS84,10,ICBN
130,INBO:IAS:FAL:D:130,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147524.9611,208342.49546,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3333642,51.1850707,WGS84,10,ICBN
131,INBO:IAS:FAL:D:131,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147522.31206,208332.88505,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3333264,51.1849843,WGS84,10,ICBN
132,INBO:IAS:FAL:D:132,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147521.00939,208322.97026,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3333078,51.1848952,WGS84,10,ICBN
133,INBO:IAS:FAL:D:133,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147519.70672,208313.05547,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3332892,51.1848061,WGS84,10,ICBN
134,INBO:IAS:FAL:D:134,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147518.40405,208303.14068,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3332707,51.184717,WGS84,10,ICBN
135,INBO:IAS:FAL:D:135,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147517.10137,208293.22589,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3332521,51.1846278,WGS84,10,ICBN
136,INBO:IAS:FAL:D:136,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147515.72326,208283.32145,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3332324,51.1845388,WGS84,10,ICBN
137,INBO:IAS:FAL:D:137,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147514.30904,208273.42195,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3332123,51.1844498,WGS84,10,ICBN
138,INBO:IAS:FAL:D:138,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147512.89483,208263.52246,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3331921,51.1843608,WGS84,10,ICBN
139,INBO:IAS:FAL:D:139,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147511.48062,208253.62296,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.333172,51.1842718,WGS84,10,ICBN
140,INBO:IAS:FAL:D:140,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147510.0664,208243.72347,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3331518,51.1841829,WGS84,10,ICBN
141,INBO:IAS:FAL:D:141,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147508.65219,208233.82397,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3331316,51.1840939,WGS84,10,ICBN
142,INBO:IAS:FAL:D:142,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147506.9187,208223.98482,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3331069,51.1840054,WGS84,10,ICBN
143,INBO:IAS:FAL:D:143,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147504.62277,208214.25195,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3330741,51.1839179,WGS84,10,ICBN
144,INBO:IAS:FAL:D:144,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147502.32685,208204.51908,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3330414,51.1838304,WGS84,10,ICBN
145,INBO:IAS:FAL:D:145,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147500.03092,208194.78621,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3330086,51.1837429,WGS84,10,ICBN
146,INBO:IAS:FAL:D:146,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147497.73499,208185.05334,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3329758,51.1836555,WGS84,10,ICBN
147,INBO:IAS:FAL:D:147,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147497.17208,208182.66703,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3329678,51.183634,WGS84,10,ICBN
148,INBO:IAS:FAL:D:148,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147501.13381,208182.03942,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3330245,51.1836284,WGS84,10,ICBN
149,INBO:IAS:FAL:D:149,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147498.83789,208172.30656,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3329917,51.1835409,WGS84,10,ICBN
150,INBO:IAS:FAL:D:150,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147496.47271,208162.59087,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3329579,51.1834535,WGS84,10,ICBN
151,INBO:IAS:FAL:D:151,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147493.95303,208152.91351,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.332922,51.1833665,WGS84,10,ICBN
152,INBO:IAS:FAL:D:152,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147491.43335,208143.23616,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.332886,51.1832795,WGS84,10,ICBN
153,INBO:IAS:FAL:D:153,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147488.91367,208133.55880,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.33285,51.1831926,WGS84,10,ICBN
154,INBO:IAS:FAL:D:154,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147486.39399,208123.88145,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.332814,51.1831056,WGS84,10,ICBN
155,INBO:IAS:FAL:D:155,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147483.87431,208114.20409,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3327781,51.1830186,WGS84,10,ICBN
156,INBO:IAS:FAL:D:156,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147481.35463,208104.52673,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3327421,51.1829316,WGS84,10,ICBN
157,INBO:IAS:FAL:D:157,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147479.02247,208094.80985,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3327088,51.1828442,WGS84,10,ICBN
158,INBO:IAS:FAL:D:158,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147477.42113,208084.93889,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.332686,51.1827555,WGS84,10,ICBN
159,INBO:IAS:FAL:D:159,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147475.81979,208075.06794,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3326631,51.1826668,WGS84,10,ICBN
160,INBO:IAS:FAL:D:160,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147474.21845,208065.19699,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3326403,51.182578,WGS84,10,ICBN
161,INBO:IAS:FAL:D:161,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147472.61711,208055.32604,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3326175,51.1824893,WGS84,10,ICBN
162,INBO:IAS:FAL:D:162,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147471.01576,208045.45508,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3325946,51.1824006,WGS84,10,ICBN
163,INBO:IAS:FAL:D:163,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147469.41442,208035.58413,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3325718,51.1823118,WGS84,10,ICBN
164,INBO:IAS:FAL:D:164,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147467.8081,208025.71399,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3325489,51.1822231,WGS84,10,ICBN
165,INBO:IAS:FAL:D:165,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147466.19817,208015.84443,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3325259,51.1821344,WGS84,10,ICBN
166,INBO:IAS:FAL:D:166,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,Maaibeheer,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,147466.1864,208015.77231,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,4.3325258,51.1821337,WGS84,10,ICBN
167,INBO:IAS:FAL:D:167,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,110611.2916,188188.71663,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,3.8075975,51.0025852,WGS84,10,ICBN
168,INBO:IAS:FAL:D:168,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,110603.45221,188194.92501,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,3.8074852,51.0026404,WGS84,10,ICBN
169,INBO:IAS:FAL:D:169,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,110595.77352,188201.32563,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,3.8073751,51.0026975,WGS84,10,ICBN
170,INBO:IAS:FAL:D:170,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,110588.27342,188207.93989,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,3.8072675,51.0027564,WGS84,10,ICBN
171,INBO:IAS:FAL:D:171,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,110581.04726,188214.82769,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,3.8071639,51.0028178,WGS84,10,ICBN
172,INBO:IAS:FAL:D:172,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,110574.4439,188222.33740,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,3.807069,51.0028849,WGS84,10,ICBN
173,INBO:IAS:FAL:D:173,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,110567.80812,188229.81818,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,3.8069736,51.0029517,WGS84,10,ICBN
174,INBO:IAS:FAL:D:174,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,110561.0992,188237.23374,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,3.8068773,51.0030179,WGS84,10,ICBN
175,INBO:IAS:FAL:D:175,event,en,http://creativecommons.org/publicdomain/zero/1.0/,Waterwegen & Zeekanalen,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/di2s6j,INBO,"Invasive Fallopia occurrences near the rivers: Zeeschelde, Rupel and Durme",HumanObservation,B. Vandevoorde,Zeeschelde,Fallopia covered dike,,Plantae,Fallopia japonica,(Houtt.) Ronse Decraene,species,110554.39029,188244.64930,Belgian Lambert 1972,Belgian Datum 1972,W&Z,2014,Europe,BE,3.8067809,51.0030841,WGS84,10,ICBN
