A;X;Y;A;longitude;latitude
A;79880.528856;228238.046856;A;3.36209432;51.35963252
A;23756.139856;197577.740356;A;2.56726850;51.07455679
A;25885.729856;196926.328856;A;2.59786749;51.06916329
A;26238.467356;197317.710356;A;2.60276578;51.07275586
A;35875.272856;205929.253856;A;2.73753226;51.15212332
A;36178.882856;205908.748356;A;2.74187689;51.15199889
A;37185.624356;206962.453356;A;2.75593507;51.16166530
A;37384.723855;207063.656856;A;2.75874920;51.16261358
A;59444.667856;221436.028856;A;3.07046763;51.29565419
A;78538.033356;227414.195356;A;3.34298657;51.35206351
A;23142.894356;199305.419856;A;2.55792010;51.08994803
A;23180.909856;199327.762356;A;2.55845477;51.09015713
A;33309.887856;203455.443356;A;2.70166991;51.12938066
A;65758.039356;224101.661856;A;3.16034430;51.32056695
A;66150.260356;224607.970356;A;3.16585198;51.32517426
A;66062.640356;224370.325856;A;3.16465045;51.32302583
A;28517.882856;200639.026356;A;2.63417302;51.10308506
A;78836.784356;227470.879356;A;3.34726315;51.35260992
A;72084.427356;226252.671856;A;3.25061507;51.34078808
A;55058.782356;216333.063856;A;3.00893995;51.24908984
A;77228.205356;227737.267856;A;3.32412241;51.35480295
A;54505.876356;216166.479356;A;3.00106652;51.24750156
A;63474.922356;222866.162356;A;3.12789595;51.30912549
A;38625.346856;205337.857856;A;2.77700895;51.14734494
A;54715.950356;218123.055856;A;3.00355968;51.26511953
A;70451.887356;225855.834856;A;3.22727808;51.33699862
A;70457.581356;225749.552856;A;3.22738321;51.33604426
A;70351.319356;225137.219856;A;3.22599380;51.33052660
A;37185.896356;206992.283856;A;2.75592970;51.16193342
A;37298.592856;207049.158856;A;2.75752271;51.16246651
A;37220.653356;207020.721356;A;2.75641762;51.16219575
A;43782.367356;211191.504856;A;2.84897988;51.20091994
A;43783.613356;211116.758856;A;2.84901958;51.20024845
A;44107.512856;211165.343856;A;2.85363845;51.20074453
A;44070.762856;211306.738356;A;2.85307150;51.20200845
A;33577.080856;202834.901856;A;2.70568432;51.12385802
A;78602.511356;228455.605856;A;3.34370576;51.36143069
A;78514.779356;228567.539856;A;3.34242416;51.36242576
A;78517.047856;228463.925356;A;3.34247727;51.36149485
A;79753.615856;228116.022356;A;3.36029630;51.35852041
A;79533.529356;228220.393356;A;3.35711671;51.35943151
A;78850.176856;227487.384856;A;3.34745211;51.35275991
A;78924.483356;227522.874356;A;3.34851160;51.35308803
A;58432.394356;220502.305856;A;3.05619416;51.28710320
A;58248.042856;220410.643356;A;3.05357541;51.28625014
A;23360.577856;196850.929856;A;2.56187833;51.06793915
A;23388.759356;196788.636856;A;2.56230187;51.06738553
A;23335.241356;196915.349856;A;2.56149462;51.06851250
A;25553.589356;196713.516856;A;2.59320281;51.06717963
A;25583.698356;196734.463856;A;2.59362509;51.06737433
A;44121.695856;211378.798356;A;2.85377905;51.20266536
A;44044.769856;211384.293356;A;2.85267704;51.20270064
A;44421.277356;211631.627856;A;2.85799092;51.20499227
A;57575.261856;219772.385356;A;3.04409683;51.28040685
A;53795.916856;215762.439356;A;2.99100793;51.24375264
A;57601.583856;219619.681856;A;3.04451302;51.27903876
A;57537.614856;219441.289856;A;3.04364201;51.27742535
A;55568.034856;218605.750356;A;3.01563940;51.26959748
