occurrenceid,type,language,license,rightsholder,accessrights,datasetid,institutioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,dynamicproperties,sex,lifestage,organismid,organismname,samplingprotocol,samplingeffort,eventdate,minimumelevationinmeters,minimumdistanceabovesurfaceinmeters,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,georeferencesources,georeferenceverificationstatus,scientificname,kingdom,phylum,class,_order,family,taxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode
703:20130531140629,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":62}",2013-05-31T14:06:29Z,0,6,51.3431295,3.1852229,WGS84,19,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531141134,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":305}",2013-05-31T14:11:34Z,0,10,51.3431976,3.1852515,WGS84,16,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531141623,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":289}",2013-05-31T14:16:23Z,0,-8,51.3431887,3.1851029,WGS84,15,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531142111,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":288}",2013-05-31T14:21:11Z,0,8,51.3430663,3.1851394,WGS84,14,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531142943,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":512}",2013-05-31T14:29:43Z,0,-4,51.3432573,3.185153,WGS84,10,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531143703,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":440}",2013-05-31T14:37:03Z,0,-79,51.3434112,3.1850129,WGS84,35,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531144423,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":440}",2013-05-31T14:44:23Z,0,-32,51.3434499,3.1849046,WGS84,41,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531145136,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":433}",2013-05-31T14:51:36Z,0,-66,51.3436411,3.1850795,WGS84,40,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531145920,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":464}",2013-05-31T14:59:20Z,0,-27,51.3434702,3.1850632,WGS84,46,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531150456,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":336}",2013-05-31T15:04:56Z,0,-45,51.3443993,3.1853068,WGS84,36,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531150719,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":143}",2013-05-31T15:07:19Z,0,5,51.3432202,3.1852611,WGS84,17,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531151225,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":306}",2013-05-31T15:12:25Z,0,23,51.3428099,3.1853254,WGS84,27,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531151940,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":435}",2013-05-31T15:19:40Z,0,85,51.3425256,3.1854383,WGS84,30,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531152427,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":287}",2013-05-31T15:24:27Z,0,25,51.3426384,3.1852773,WGS84,42,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531152915,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":288}",2013-05-31T15:29:15Z,0,27,51.3425269,3.1852121,WGS84,35,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531153624,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":429}",2013-05-31T15:36:24Z,0,-115,51.3432744,3.1848446,WGS84,25,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
703:20130531154128,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,http://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO,MachineObservation,see metadata,"{""device_info_serial"":703}",male,adult,L904812,Kees,doi:10.1007/s10336-012-0908-1,"{""secondsSinceLastOccurrence"":304}",2013-05-31T15:41:28Z,0,30,51.3424245,3.1854836,WGS84,23,GPS,unverified,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,species,"Linnaeus, 1758",Lesser Black-backed Gull,ICZN
