taxonID,scientificName,Suggestion ScientificName,vernacularName,gbifapi_acceptedKey,gbifapi_acceptedScientificName,gbifapi_canonicalName,gbifapi_class,gbifapi_classKey,gbifapi_confidence,gbifapi_family,gbifapi_familyKey,gbifapi_genus,gbifapi_genusKey,gbifapi_kingdom,gbifapi_kingdomKey,gbifapi_matchType,gbifapi_note,gbifapi_order,gbifapi_orderKey,gbifapi_phylum,gbifapi_phylumKey,gbifapi_rank,gbifapi_scientificName,gbifapi_species,gbifapi_speciesKey,gbifapi_status,gbifapi_synonym,gbifapi_usageKey
INBO:RL:VAL:PLA:2006:4308,Carex demissa Vahl ex Hartm.,Carex demissa Vahl ex Hartm.,Geelgroene zegge,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4347,Carex viridula s.l.,,Dwergzegge groep,,,,,,,,,,,,,NONE Multiple equal matches for Carex viridula,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4465,Dipsacus fullonum L.,Dipsacus fullonum L.,Grote kaardebol,,,,,,,,,,,,,NONE Multiple equal matches for Dipsacus fullonum,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4503,Epipactis phyllanthes G.E. Smith,Epipactis phyllanthes,Groene wespenorchis,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4748,Lotus corniculatus L. subsp. tenuis (Waldst. et Kit. ex Willd.) Berher,Lotus corniculatus L. subsp. tenuis (Waldst. et Kit. ex Willd.) Berher,Smalle rolklaver,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:4828,Nuphar lutea (L.) Smith,Nuphar lutea (L.) Smith,Gele plomp,7550885,Nuphar luteum (L.) Sibth. & Sm.,Nuphar luteum,Magnoliopsida,220,100,Nymphaeaceae,2423,Nuphar,2882408,Plantae,6,FUZZY,,Nymphaeales,636,Tracheophyta,7707728,SPECIES,Nuphar luteum (L.) Sibth. & Sm.,Nuphar luteum,7550885,ACCEPTED,False,7550885
INBO:RL:VAL:PLA:2006:5031,Rosa tomentella L̩man,Rosa tomentella L̩man,Beklierde heggenroos,,,,,,,,,,,,,NONE Multiple equal matches for Rosa tomentella,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:5034,Rubus fruticosus groep,Rubus fruticosus groep,Gewone braam (Rubus fruticosus groep),,,,,,,,,,,,,NONE,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:5080,Schoenoplectus lacustris (L.) R. Brown,Schoenoplectus lacustris (L.) R. Brown,Mattenbies,,,,,,,,,,,,,NONE No match because of too little confidence,,,,,,,,,,,,
INBO:RL:VAL:PLA:2006:5130,Solidago virgaurea L.,Solidago virgaurea L.,Echte guldenroede,7640823,Solidago virga-aurea L.,Solidago virga-aurea,Magnoliopsida,220,100,Asteraceae,3065,Solidago,5388868,Plantae,6,FUZZY,,Asterales,414,Tracheophyta,7707728,SPECIES,Solidago virga-aurea L.,Solidago virga-aurea,7640823,DOUBTFUL,False,7640823
INBO:RL:VAL:PLA:2006:5190,Trichophorum cespitosus (L.) Hartm.,Trichophorum cespitosus (L.) Hartm.,Veenbies,2710592,Trichophorum cespitosum (L.) Hartm.,Trichophorum cespitosum,Liliopsida,196,100,Cyperaceae,7708,Trichophorum,2710516,Plantae,6,FUZZY,,Poales,1369,Tracheophyta,7707728,SPECIES,Trichophorum cespitosum (L.) Hartm.,Trichophorum cespitosum,2710592,ACCEPTED,False,2710592
INBO:RL:VAL:PLA:2006:5284,Zostera noltei Hornem.,Zostera noltei Hornem.,Klein zeegras,2863938,Zostera noltii Hornem.,Zostera noltii,Liliopsida,196,100,Zosteraceae,3725,Zostera,2863960,Plantae,6,FUZZY,,Alismatales,551,Tracheophyta,7707728,SPECIES,Zostera noltii Hornem.,Zostera noltii,2863938,ACCEPTED,False,2863938
INBO:RL:VAL:REP:2013:3506,Vipera berus,Vipera berus,Adder,,,,,,,,,,,,,NONE Multiple equal matches for Vipera berus,,,,,,,,,,,,
INBO:RL:VAL:WBU:2013:5549,Cymatia bonsdorffii,Cymatia bonsdorffii,Veenzwemmertje,6453952,"Cymatia bonsdorffi (Sahlberg, 1819)",Cymatia bonsdorffi,Insecta,216,99,Corixidae,6988,Cymatia,2049917,Animalia,1,FUZZY,,Hemiptera,809,Arthropoda,54,SPECIES,"Cymatia bonsdorffi (Sahlberg, 1819)",Cymatia bonsdorffi,6453952,ACCEPTED,False,6453952
