ï»¿eventID,type,basisOfRecord,occurrenceID,recordedBy,individualCount,summaryIndividualCount,sex,lifestage,occurrenceStatus,samplingProtocol,identifiedBy,scientificName,kingdom,phylum,class,taxonRank,scientificNameAuthorship,vernacularName
INBO:NBN:BFN00179000037BF,Event,HumanObservation,INBO:NBN:BFN001790000A5KX,BFN001790000058K | BFN001790000058O,2,"""Adult Vrouw"":1, ""Adult Man"":1","{""female"":1, ""male"":1}","{""adult"":1, ""adult"":1}",present,culling - shooting,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000025SD,Event,HumanObservation,INBO:NBN:BFN0017900007XFT,BFN00179000002AF | BFN00179000002AG,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000000I,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O4X,Event,HumanObservation,INBO:NBN:BFN001790000984Q,BFN00179000002AG,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002O53,Event,HumanObservation,INBO:NBN:BFN001790000984W,BFN00179000002AG,5,"""Pulli"":5",NULL,"{""pulli"":5}",present,casual observation,BFN001790000004L,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000037AS,Event,HumanObservation,INBO:NBN:BFN001790000A5KB,BFN001790000055P | BFN001790000058K,2,"""Adult Vrouw"":1, ""Adult Man"":1","{""female"":1, ""male"":1}","{""adult"":1, ""adult"":1}",present,casual observation,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000037BE,Event,HumanObservation,INBO:NBN:BFN001790000A5KW,BFN001790000058K | BFN001790000058O,2,"""Adult Man"":1, ""Adult Vrouw"":1","{""male"":1, ""female"":1}","{""adult"":1, ""adult"":1}",present,casual observation,BFN001790000055P,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN00179000025SB,Event,HumanObservation,INBO:NBN:BFN0017900007XFS,BFN00179000004PX,4,"""Gevangen AM"":2, ""Gevangen AV"":1, ""Niet gevangen AV"":1",NULL,NULL,present,Capture,BFN001790000000I,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002OH1,Event,HumanObservation,INBO:NBN:BFN001790000993O,BFN001790000005G,1,"""Adult Man"":1","{""male"":1}","{""adult"":1}",present,culling - shooting,BFN001790000005G,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002OH7,Event,HumanObservation,INBO:NBN:BFN001790000993R,BFN001790000005G,2,"""Pulli"":1, ""Adult Vrouw"":1","{""female"":1}","{""pulli"":1, ""adult"":1}",present,culling - shooting,BFN001790000005G,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
INBO:NBN:BFN0017900002X61,Event,HumanObservation,INBO:NBN:BFN0017900009P6D,BFN001790000053O | BFN001790000015Y | BFN00179000002AF,3,"""Adult Man"":1, ""Juveniel"":2","{""male"":1}","{""adult"":1, ""juvenile"":2}",present,culling - shooting,BFN00179000002AF,Oxyura jamaicensis,Animalia,Chordata,Aves,species,"(Gmelin, 1789)",Rosse stekelstaart
